artist,genres,popularity,followers,artist_id
Post Malone,dfw rap,95,25778831,246dkjvS1zLTtiykXe5h60
Post Malone,melodic rap,95,25778831,246dkjvS1zLTtiykXe5h60
Post Malone,rap,95,25778831,246dkjvS1zLTtiykXe5h60
Travis Scott,rap,98,10123878,0Y5tJX1MQlPlqiwlOH1tJY
Ariana Grande,dance pop,95,46599288,66CXWjxzNUsdJxJ2JdwvnR
Ariana Grande,pop,95,46599288,66CXWjxzNUsdJxJ2JdwvnR
Ariana Grande,post-teen pop,95,46599288,66CXWjxzNUsdJxJ2JdwvnR
Meek Mill,hip hop,84,4135428,20sxb77xiYeusSH8cVdatc
Meek Mill,philly rap,84,4135428,20sxb77xiYeusSH8cVdatc
Meek Mill,pop rap,84,4135428,20sxb77xiYeusSH8cVdatc
Meek Mill,rap,84,4135428,20sxb77xiYeusSH8cVdatc
Meek Mill,southern hip hop,84,4135428,20sxb77xiYeusSH8cVdatc
Meek Mill,trap,84,4135428,20sxb77xiYeusSH8cVdatc
Sheck Wes,rap,72,865851,2RDOrhPqAM4jzTRCEb19qX
Sheck Wes,trap,72,865851,2RDOrhPqAM4jzTRCEb19qX
Sheck Wes,underground hip hop,72,865851,2RDOrhPqAM4jzTRCEb19qX
Sheck Wes,vapor trap,72,865851,2RDOrhPqAM4jzTRCEb19qX
Lil Baby,atl hip hop,93,4159060,5f7VJjfbwm532GiveGC0ZK
Lil Baby,atl trap,93,4159060,5f7VJjfbwm532GiveGC0ZK
Lil Baby,rap,93,4159060,5f7VJjfbwm532GiveGC0ZK
Lil Baby,trap,93,4159060,5f7VJjfbwm532GiveGC0ZK
Kodak Black,florida rap,84,5868841,46SHBwWsqBkxI7EeeBEQG7
Kodak Black,hip hop,84,5868841,46SHBwWsqBkxI7EeeBEQG7
Kodak Black,melodic rap,84,5868841,46SHBwWsqBkxI7EeeBEQG7
Kodak Black,miami hip hop,84,5868841,46SHBwWsqBkxI7EeeBEQG7
Kodak Black,rap,84,5868841,46SHBwWsqBkxI7EeeBEQG7
Kodak Black,southern hip hop,84,5868841,46SHBwWsqBkxI7EeeBEQG7
Kodak Black,trap,84,5868841,46SHBwWsqBkxI7EeeBEQG7
Halsey,dance pop,91,10790321,26VFTg2z8YR0cCuwLzESi2
Halsey,electropop,91,10790321,26VFTg2z8YR0cCuwLzESi2
Halsey,etherpop,91,10790321,26VFTg2z8YR0cCuwLzESi2
Halsey,indie poptimism,91,10790321,26VFTg2z8YR0cCuwLzESi2
Halsey,pop,91,10790321,26VFTg2z8YR0cCuwLzESi2
Halsey,post-teen pop,91,10790321,26VFTg2z8YR0cCuwLzESi2
Flipp Dinero,hip hop,72,619639,2HUwZ0kumzCSlhFcjFZfpp
Flipp Dinero,melodic rap,72,619639,2HUwZ0kumzCSlhFcjFZfpp
Flipp Dinero,pop rap,72,619639,2HUwZ0kumzCSlhFcjFZfpp
Flipp Dinero,rap,72,619639,2HUwZ0kumzCSlhFcjFZfpp
Flipp Dinero,southern hip hop,72,619639,2HUwZ0kumzCSlhFcjFZfpp
Flipp Dinero,trap,72,619639,2HUwZ0kumzCSlhFcjFZfpp
Flipp Dinero,vapor trap,72,619639,2HUwZ0kumzCSlhFcjFZfpp
Juice WRLD,chicago rap,96,9899229,4MCBfE4596Uoi2O4DtmEMz
Juice WRLD,melodic rap,96,9899229,4MCBfE4596Uoi2O4DtmEMz
Gucci Mane,atl hip hop,85,3247497,13y7CgLHjMVRMDqxdx0Xdo
Gucci Mane,dirty south rap,85,3247497,13y7CgLHjMVRMDqxdx0Xdo
Gucci Mane,hip hop,85,3247497,13y7CgLHjMVRMDqxdx0Xdo
Gucci Mane,pop rap,85,3247497,13y7CgLHjMVRMDqxdx0Xdo
Gucci Mane,rap,85,3247497,13y7CgLHjMVRMDqxdx0Xdo
Gucci Mane,southern hip hop,85,3247497,13y7CgLHjMVRMDqxdx0Xdo
Gucci Mane,trap,85,3247497,13y7CgLHjMVRMDqxdx0Xdo
Marshmello,brostep,89,24452138,64KEffDW9EtZ1y2vBYgq8T
Marshmello,pop,89,24452138,64KEffDW9EtZ1y2vBYgq8T
Marshmello,progressive electro house,89,24452138,64KEffDW9EtZ1y2vBYgq8T
21 Savage,atl hip hop,87,7936592,1URnnhqYAYcrqrcwql10ft
21 Savage,rap,87,7936592,1URnnhqYAYcrqrcwql10ft
21 Savage,trap,87,7936592,1URnnhqYAYcrqrcwql10ft
Cardi B,pop,87,11365792,4kYSro6naA4h99UJvo89HB
Cardi B,pop rap,87,11365792,4kYSro6naA4h99UJvo89HB
Cardi B,rap,87,11365792,4kYSro6naA4h99UJvo89HB
Bad Bunny,latin,100,22006762,4q3ewBCX7sLwd24euuV69X
Bad Bunny,reggaeton,100,22006762,4q3ewBCX7sLwd24euuV69X
Bad Bunny,trap latino,100,22006762,4q3ewBCX7sLwd24euuV69X
A Boogie Wit da Hoodie,melodic rap,89,4604572,31W5EY0aAly4Qieq6OFu6I
A Boogie Wit da Hoodie,pop rap,89,4604572,31W5EY0aAly4Qieq6OFu6I
A Boogie Wit da Hoodie,rap,89,4604572,31W5EY0aAly4Qieq6OFu6I
A Boogie Wit da Hoodie,trap,89,4604572,31W5EY0aAly4Qieq6OFu6I
XXXTENTACION,emo rap,93,19934788,15UsOTVnJzReFVN1VCnxy4
XXXTENTACION,miami hip hop,93,19934788,15UsOTVnJzReFVN1VCnxy4
benny blanco,electropop,78,556309,5CiGnKThu5ctn9pBxv7DGa
benny blanco,pop,78,556309,5CiGnKThu5ctn9pBxv7DGa
benny blanco,pop rap,78,556309,5CiGnKThu5ctn9pBxv7DGa
Drake,canadian hip hop,99,47000879,3TVXtAsR1Inumwj472S9r4
Drake,canadian pop,99,47000879,3TVXtAsR1Inumwj472S9r4
Drake,hip hop,99,47000879,3TVXtAsR1Inumwj472S9r4
Drake,pop rap,99,47000879,3TVXtAsR1Inumwj472S9r4
Drake,rap,99,47000879,3TVXtAsR1Inumwj472S9r4
Drake,toronto rap,99,47000879,3TVXtAsR1Inumwj472S9r4
Panic! At The Disco,baroque pop,85,9436448,20JZFwl6HVl6yg8a4H3ZqK
Panic! At The Disco,emo,85,9436448,20JZFwl6HVl6yg8a4H3ZqK
Panic! At The Disco,modern rock,85,9436448,20JZFwl6HVl6yg8a4H3ZqK
Tyga,pop rap,90,5668565,5LHRHt1k9lMyONurDHEdrp
Tyga,rap,90,5668565,5LHRHt1k9lMyONurDHEdrp
Tyga,trap,90,5668565,5LHRHt1k9lMyONurDHEdrp
Khalid,alternative r&b,93,11658988,6LuN9FCkKOj5PcnpouEgny
Khalid,pop,93,11658988,6LuN9FCkKOj5PcnpouEgny
DJ Snake,dance pop,84,6874855,540vIaP2JwjQb9dm3aArA4
DJ Snake,edm,84,6874855,540vIaP2JwjQb9dm3aArA4
DJ Snake,electro house,84,6874855,540vIaP2JwjQb9dm3aArA4
DJ Snake,electronic trap,84,6874855,540vIaP2JwjQb9dm3aArA4
DJ Snake,pop,84,6874855,540vIaP2JwjQb9dm3aArA4
DJ Snake,pop rap,84,6874855,540vIaP2JwjQb9dm3aArA4
Ava Max,dance pop,87,1686610,4npEfmQ6YuiwW1GpUmaq3F
Ava Max,pop,87,1686610,4npEfmQ6YuiwW1GpUmaq3F
Ava Max,post-teen pop,87,1686610,4npEfmQ6YuiwW1GpUmaq3F
6ix9ine,emo rap,88,5012982,7gZfnEnfiaHzxARJ2LeXrf
Billie Eilish,electropop,94,27289372,6qqNVTkY8uBg9cP3Jd7DAH
Billie Eilish,pop,94,27289372,6qqNVTkY8uBg9cP3Jd7DAH
Ski Mask The Slump God,miami hip hop,80,3287723,2rhFzFmezpnW82MNqEKVry
