acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,track_id,type,uri,valence,0
0.556,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,0.76,158040.0,0.479,3KkXRkHbMCARz0aVfEt68P,0.0,2.0,0.0703,-5.574,1.0,0.0466,89.911,4.0,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,3KkXRkHbMCARz0aVfEt68P,audio_features,spotify:track:3KkXRkHbMCARz0aVfEt68P,0.913,
0.163,https://api.spotify.com/v1/audio-analysis/6MWtB6iiXyIwun0YzU6DFP,0.833,149520.0,0.539,6MWtB6iiXyIwun0YzU6DFP,2.1e-06,11.0,0.101,-7.399,0.0,0.178,99.947,4.0,https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP,6MWtB6iiXyIwun0YzU6DFP,audio_features,spotify:track:6MWtB6iiXyIwun0YzU6DFP,0.385,
0.00513,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,0.834,312820.0,0.73,2xLMifQCjDGFmkHkpNLD9h,0.0,8.0,0.124,-3.714,1.0,0.222,155.008,4.0,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h,audio_features,spotify:track:2xLMifQCjDGFmkHkpNLD9h,0.446,
0.28,https://api.spotify.com/v1/audio-analysis/2rPE9A1vEgShuZxxzR2tZH,0.724,207333.0,0.647,2rPE9A1vEgShuZxxzR2tZH,0.0,1.0,0.102,-5.642,1.0,0.0658,106.96,4.0,https://api.spotify.com/v1/tracks/2rPE9A1vEgShuZxxzR2tZH,2rPE9A1vEgShuZxxzR2tZH,audio_features,spotify:track:2rPE9A1vEgShuZxxzR2tZH,0.435,
0.259,https://api.spotify.com/v1/audio-analysis/2IRZnDFmlqMuOrYOLnZZyc,0.889,180522.0,0.496,2IRZnDFmlqMuOrYOLnZZyc,0.0,4.0,0.252,-6.365,0.0,0.0905,86.003,4.0,https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc,2IRZnDFmlqMuOrYOLnZZyc,audio_features,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,0.544,
0.194,https://api.spotify.com/v1/audio-analysis/1xzBco0xcoJEDXktl7Jxrr,0.729,183907.0,0.625,1xzBco0xcoJEDXktl7Jxrr,0.00986,4.0,0.248,-5.266,1.0,0.0315,146.034,4.0,https://api.spotify.com/v1/tracks/1xzBco0xcoJEDXktl7Jxrr,1xzBco0xcoJEDXktl7Jxrr,audio_features,spotify:track:1xzBco0xcoJEDXktl7Jxrr,0.261,
0.0852,https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE,0.897,145543.0,0.662,78QR3Wp35dqAhFEc2qAGjE,0.0,1.0,0.534,-6.903,0.0,0.292,112.511,4.0,https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE,78QR3Wp35dqAhFEc2qAGjE,audio_features,spotify:track:78QR3Wp35dqAhFEc2qAGjE,0.389,
0.0521,https://api.spotify.com/v1/audio-analysis/0FZ4Dmg8jJJAPJnvBIzD9z,0.861,228760.0,0.603,0FZ4Dmg8jJJAPJnvBIzD9z,0.0,8.0,0.0924,-5.788,0.0,0.176,98.043,4.0,https://api.spotify.com/v1/tracks/0FZ4Dmg8jJJAPJnvBIzD9z,0FZ4Dmg8jJJAPJnvBIzD9z,audio_features,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,0.504,
0.297,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,0.752,201661.0,0.488,5p7ujcrUXASCNwRaWNHR1C,9.11e-06,6.0,0.0936,-7.05,1.0,0.0705,136.041,4.0,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,5p7ujcrUXASCNwRaWNHR1C,audio_features,spotify:track:5p7ujcrUXASCNwRaWNHR1C,0.533,
0.107,https://api.spotify.com/v1/audio-analysis/14mHfNsSHN0FbLftyjrV9g,0.792,195637.0,0.743,14mHfNsSHN0FbLftyjrV9g,0.0,7.0,0.183,-2.806,1.0,0.0851,150.024,4.0,https://api.spotify.com/v1/tracks/14mHfNsSHN0FbLftyjrV9g,14mHfNsSHN0FbLftyjrV9g,audio_features,spotify:track:14mHfNsSHN0FbLftyjrV9g,0.742,
